Afrikaans,af-ZA
Amharic,am-ET
Arabic,ar-XA
Bengali,bn-IN
Bulgarian,bg-BG
Chinese(Simplified),cmn-CN
Chinese(Traditional),cmn-TW
Croatian,hr-HR
Czech,cs-CZ
Danish,da-DK
Dutch,nl-NL
English,en-US
Estonian,et-EE
Finnish,fi-FI
French,fr-FR
French_Canadian,fr-CA
French_France,fr-FR
German,de-DE
Greek,el-GR
Gujarati,gu-IN
Hindi,hi-IN
Hungarian,hu-HU
Icelandic,is-IS
Indonesian,id-ID
Italian,it-IT
Japanese,ja-JP
Kannada,kn-IN
Korean,ko-KR
Latvian,lv-LV
Lithuanian,lt-LT
Malay,ms-MY
Malayalam,ml-IN
Marathi,mr-IN
Polish,pl-PL
Portuguese,pt-BR
Punjabi,pa-IN
Romanian,ro-RO
Russian,ru-RU
Serbian,sr-RS
Slovak,sk-SK
Slovenian,sl-SI
Spanish,es-ES
Swahili,sw-KE
Swedish,sv-SE
Tamil,ta-IN
Telugu,te-IN
Thai,th-TH
Turkish,tr-TR
Ukrainian,uk-UA
Urdu,ur-IN
Vietnamese,vi-VN
